event_id,commence_time,api_home_team,api_away_team,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,market,regions,last_update,fetched_at,snapshot_type,target_round,capture_reason
oddsapiio:72055098,2026-08-18T01:00:00Z,Club Necaxa,Club Leon,Necaxa,Leon,2.24,3.60,3.15,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055100,2026-08-18T03:00:00Z,CF Pachuca,Club Puebla,Pachuca,Puebla,1.51,4.30,6.60,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055088,2026-08-16T03:10:00Z,Atlas FC,Tigres UANL,Atlas,Tigres UANL,3.20,3.25,2.15,betano,h2h,oddsapiio,2026-08-10T19:38:34.147Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055088,2026-08-16T03:10:00Z,Atlas FC,Tigres UANL,Atlas,Tigres UANL,3.35,3.35,2.26,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055092,2026-08-16T23:00:00Z,CF America,Atletico San Luis,Club America,Atletico San Luis,1.50,4.10,5.75,betano,h2h,oddsapiio,2026-08-10T12:02:54.704Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055092,2026-08-16T23:00:00Z,CF America,Atletico San Luis,Club America,Atletico San Luis,1.53,4.40,6.20,duel,h2h,oddsapiio,2026-08-12T08:22:37.627Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055094,2026-08-17T01:10:00Z,Club Santos Laguna,CD Guadalajara,Santos Laguna,Guadalajara,5.60,4.60,1.55,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055096,2026-08-17T03:00:00Z,Club Tijuana de Caliente,CF Cruz Azul,Tijuana,Cruz Azul,3.00,3.50,2.15,betano,h2h,oddsapiio,2026-08-10T19:38:34.147Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055096,2026-08-17T03:00:00Z,Club Tijuana de Caliente,CF Cruz Azul,Tijuana,Cruz Azul,3.25,3.50,2.24,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055084,2026-08-15T23:00:00Z,Atlante FC,Deportivo Toluca FC,Atlante,Toluca,6.50,4.20,1.44,betano,h2h,oddsapiio,2026-08-10T19:38:34.147Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055084,2026-08-15T23:00:00Z,Atlante FC,Deportivo Toluca FC,Atlante,Toluca,6.60,4.50,1.49,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055090,2026-08-16T18:00:00Z,Pumas UNAM,Queretaro FC,UNAM Pumas,Queretaro,1.80,3.70,3.90,betano,h2h,oddsapiio,2026-08-10T16:22:35.929Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055090,2026-08-16T18:00:00Z,Pumas UNAM,Queretaro FC,UNAM Pumas,Queretaro,1.87,3.70,4.20,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055086,2026-08-16T01:10:00Z,CF Monterrey,FC Juarez,Monterrey,FC Juarez,1.55,4.60,5.60,duel,h2h,oddsapiio,2026-08-12T07:54:29.495Z,2026-08-12T09:03:11Z,open,4,odds-api.io first-seen open price @ 2026-08-12T09:03:11.851493+00:00
oddsapiio:72055098,2026-08-18T01:00:00Z,Club Necaxa,Club Leon,Necaxa,Leon,2.15,3.50,3.00,betano,h2h,oddsapiio,2026-08-13T14:24:58.952Z,2026-08-13T14:31:00Z,open,4,odds-api.io first-seen open price @ 2026-08-13T14:31:00.151925+00:00
oddsapiio:72055086,2026-08-16T01:10:00Z,CF Monterrey,FC Juarez,Monterrey,FC Juarez,1.50,4.20,5.50,betano,h2h,oddsapiio,2026-08-13T14:24:58.952Z,2026-08-13T14:31:00Z,open,4,odds-api.io first-seen open price @ 2026-08-13T14:31:00.151925+00:00
oddsapiio:72055094,2026-08-17T01:10:00Z,Club Santos Laguna,CD Guadalajara,Santos Laguna,Guadalajara,5.50,4.20,1.50,betano,h2h,oddsapiio,2026-08-13T14:24:58.952Z,2026-08-13T14:31:00Z,open,4,odds-api.io first-seen open price @ 2026-08-13T14:31:00.151925+00:00
oddsapiio:72055114,2026-08-22T01:00:00Z,Tigres UANL,Atlante FC,Tigres UANL,Atlante,1.40,5.00,7.80,duel,h2h,oddsapiio,2026-08-15T10:24:36.093Z,2026-08-15T10:31:14Z,open,5,odds-api.io first-seen open price @ 2026-08-15T10:31:14.445847+00:00
oddsapiio:72055106,2026-08-22T23:07:00Z,CD Guadalajara,Club Tijuana de Caliente,Guadalajara,Tijuana,1.54,4.50,6.00,duel,h2h,oddsapiio,2026-08-15T10:29:40.763Z,2026-08-15T10:31:14Z,open,5,odds-api.io first-seen open price @ 2026-08-15T10:31:14.445847+00:00
oddsapiio:72055108,2026-08-22T23:00:00Z,Queretaro FC,Deportivo Toluca FC,Queretaro,Toluca,3.60,3.80,2.00,duel,h2h,oddsapiio,2026-08-15T10:24:36.093Z,2026-08-15T10:31:14Z,open,5,odds-api.io first-seen open price @ 2026-08-15T10:31:14.445847+00:00
oddsapiio:72055104,2026-08-22T03:00:00Z,FC Juarez,CF America,FC Juarez,Club America,3.90,3.65,1.96,duel,h2h,oddsapiio,2026-08-15T10:21:34.089Z,2026-08-15T10:31:14Z,open,5,odds-api.io first-seen open price @ 2026-08-15T10:31:14.445847+00:00
oddsapiio:72055102,2026-08-23T01:00:00Z,Club Puebla,Club Santos Laguna,Puebla,Santos Laguna,2.52,3.65,2.70,duel,h2h,oddsapiio,2026-08-15T10:09:27.905Z,2026-08-15T10:31:14Z,open,5,odds-api.io first-seen open price @ 2026-08-15T10:31:14.445847+00:00
oddsapiio:72055112,2026-08-23T03:00:00Z,CF Cruz Azul,Atlas FC,Cruz Azul,Atlas,1.75,3.80,4.80,duel,h2h,oddsapiio,2026-08-15T10:10:28.456Z,2026-08-15T10:31:14Z,open,5,odds-api.io first-seen open price @ 2026-08-15T10:31:14.445847+00:00
