home_team,away_team,bookmaker,first_seen_unpriced_at,last_seen_unpriced_at
Wuhan Three Towns,Qingdao West Coast,pinnacle,2026-08-29T10:01:17.219520Z,
Dalian Yingbo,Qingdao Hainiu,pinnacle,2026-08-29T10:01:17.219520Z,
Shanghai Port,Beijing Guoan,pinnacle,2026-08-29T10:01:17.219520Z,
Shandong Taishan,Shenzhen Xinpengcheng,pinnacle,2026-08-29T10:01:17.219520Z,
Chongqing Tonglianglong,Shanghai Shenhua,pinnacle,2026-08-29T10:01:17.219520Z,
Henan Songshan Longmen,Chengdu Rongcheng,pinnacle,2026-08-29T10:01:17.219520Z,
Yunnan Yukun,Liaoning Tieren,pinnacle,2026-08-29T10:01:17.219520Z,
Tianjin Jinmen Tiger,Zhejiang Professional,pinnacle,2026-08-29T10:01:17.219520Z,
Tianjin Jinmen Tiger,Liaoning Tieren,pinnacle,2026-08-29T10:01:17.219520Z,2026-09-06T12:01:00Z
Wuhan Three Towns,Qingdao West Coast,onexbet,2026-08-31T08:47:02Z,
Shanghai Port,Beijing Guoan,onexbet,2026-08-31T08:47:02Z,
Shandong Taishan,Shenzhen Xinpengcheng,onexbet,2026-08-31T08:47:02Z,
Henan Songshan Longmen,Chengdu Rongcheng,onexbet,2026-08-31T08:47:02Z,
Yunnan Yukun,Liaoning Tieren,onexbet,2026-08-31T08:47:02Z,
Tianjin Jinmen Tiger,Zhejiang Professional,onexbet,2026-08-31T08:47:02Z,
Dalian Yingbo,Qingdao Hainiu,onexbet,2026-08-31T12:01:39Z,
Chongqing Tonglianglong,Shanghai Shenhua,onexbet,2026-08-31T12:11:45Z,
Wuhan Three Towns,Henan Songshan Longmen,pinnacle,2026-09-05T06:19:22Z,2026-09-06T19:01:26Z
