fixture_id,match_date,match_time,home_team,away_team,home_win_prob,draw_prob,away_win_prob,debias_method,onexbet_open_home_odds,onexbet_open_draw_odds,onexbet_open_away_odds,onexbet_open_home_ev,onexbet_open_draw_ev,onexbet_open_away_ev,onexbet_open_last_update,duel_open_home_odds,duel_open_draw_odds,duel_open_away_odds,duel_open_home_ev,duel_open_draw_ev,duel_open_away_ev,duel_open_last_update,best_open_home_odds,best_open_draw_odds,best_open_away_odds,best_open_home_ev,best_open_draw_ev,best_open_away_ev,best_open_home_book,best_open_draw_book,best_open_away_book,signal_pick,signal_state,signal_book,signal_books,fetched_at
CSL-2026-18-2026-08-18-shanghai-shenhua-beijing-guoan,2026-08-18,11:35,Shanghai Shenhua,Beijing Guoan,0.4694489378965953,0.24683251933653663,0.2837185427668681,market_anchor,2.1,3.92,3.096,-0.01415723041714978,-0.03241652420077645,-0.12160739159377643,2026-08-16T21:40:46.214Z,2.14,4.1,3.15,0.004620727098713973,0.012013329279800145,-0.1062865902843656,2026-08-17T07:03:28.504Z,2.14,4.1,3.15,0.004620727098713973,0.012013329279800145,-0.1062865902843656,duel,duel,duel,,,,,2026-08-17T12:20:20Z
CSL-2026-18-2026-08-19-shanghai-port-dalian-yingbo,2026-08-19,11:35,Shanghai Port,Dalian Yingbo,0.5623757125811684,0.2233321352882125,0.21429215213061903,market_anchor,1.816,4.12,3.82,0.021274294047401776,-0.07987160261256454,-0.18140397886103532,2026-08-17T07:31:52.982Z,1.73,4.4,4.4,-0.02709001723457871,-0.01733860473186488,-0.05711453062527616,2026-08-17T07:31:35.493Z,1.816,4.4,4.4,0.021274294047401776,-0.01733860473186488,-0.05711453062527616,onexbet,duel,duel,,,,,2026-08-17T12:20:20Z
CSL-2026-24-2026-08-22-wuhan-three-towns-tianjin-jinmen-tiger,2026-08-22,11:00,Wuhan Three Towns,Tianjin Jinmen Tiger,0.4027545126698262,0.2696148804693839,0.3276306068607899,market_anchor,2.256,3.52,3.075,-0.09138581941687218,-0.050955620747768604,0.0074641160969288745,2026-08-15T12:41:32.895Z,2.14,3.7,3.4,-0.13810534288657184,-0.002424942263279495,0.1139440633266855,2026-08-15T11:49:13.303Z,2.256,3.7,3.4,-0.09138581941687218,-0.002424942263279495,0.1139440633266855,onexbet,duel,duel,,,,,2026-08-17T12:20:20Z
CSL-2026-24-2026-08-22-chengdu-rongcheng-shanghai-shenhua,2026-08-22,11:35,Chengdu Rongcheng,Shanghai Shenhua,0.5574259842842102,0.21382649913761248,0.2287475165781775,delta,1.92,4.14,3.42,0.0702578898256836,-0.11475829357028444,-0.21768349330263304,2026-08-17T10:52:25.063Z,1.95,4.3,3.55,0.0869806693542099,-0.0805460537082664,-0.18794631614746993,2026-08-17T10:47:46.804Z,1.95,4.3,3.55,0.0869806693542099,-0.0805460537082664,-0.18794631614746993,duel,duel,duel,,,,,
CSL-2026-24-2026-08-22-shenzhen-xinpengcheng-zhejiang-professional,2026-08-22,11:35,Shenzhen Xinpengcheng,Zhejiang Professional,0.3334411582474094,0.2614810713376362,0.4050777704149544,market_anchor,2.47,3.7,2.645,-0.17640033912889874,-0.03252003605074594,0.07143070274755448,2026-08-15T12:41:32.895Z,2.48,4.0,2.64,-0.1730659275464247,0.045924285350544825,0.06940531389547977,2026-08-15T12:09:24.018Z,2.48,4.0,2.645,-0.1730659275464247,0.045924285350544825,0.07143070274755448,duel,duel,onexbet,,,,,2026-08-17T12:20:20Z
CSL-2026-24-2026-08-22-beijing-guoan-yunnan-yukun,2026-08-22,12:00,Beijing Guoan,Yunnan Yukun,0.6856382017665064,0.16681831805060748,0.14754348018288616,delta,1.405,5.25,6.65,-0.03667832651805858,-0.1242038302343107,-0.01883585678380706,2026-08-17T10:52:25.063Z,1.41,5.6,7.0,-0.033250135509226064,-0.0658174189165982,0.03280436128020314,2026-08-17T10:43:45.895Z,1.41,5.6,7.0,-0.033250135509226064,-0.0658174189165982,0.03280436128020314,duel,duel,duel,,,,,
CSL-2026-24-2026-08-22-qingdao-west-coast-shandong-taishan,2026-08-22,12:00,Qingdao West Coast,Shandong Taishan,0.3490667356073445,0.2578277944310299,0.3931054699616256,market_anchor,2.81,3.62,2.375,-0.01912247294336189,-0.06666338415967177,-0.06637450884113916,2026-08-15T13:09:29.338Z,2.86,3.95,2.32,-0.0016691361629946888,0.01841978800256805,-0.08799530968902869,2026-08-15T12:17:27.38Z,2.86,3.95,2.375,-0.0016691361629946888,0.01841978800256805,-0.06637450884113916,duel,duel,onexbet,,,,,2026-08-17T12:20:20Z
CSL-2026-24-2026-08-23-liaoning-tieren-henan-songshan-longmen,2026-08-23,11:00,Liaoning Tieren,Henan Songshan Longmen,0.35904336990537705,0.2687813825794825,0.3721752475151405,market_anchor,3.025,3.42,2.32,0.08610619396376551,-0.08076767157817,-0.13655342576487417,2026-08-16T12:04:02.64Z,3.05,3.65,2.32,0.09508227821140003,-0.018947953584888988,-0.13655342576487417,2026-08-16T11:21:28.077Z,3.05,3.65,2.32,0.09508227821140003,-0.018947953584888988,-0.13655342576487417,duel,duel,onexbet,,,,,2026-08-17T12:20:20Z
CSL-2026-24-2026-08-23-shanghai-port-qingdao-hainiu,2026-08-23,11:35,Shanghai Port,Qingdao Hainiu,0.6642421490752818,0.18030956530014286,0.1554482856245754,delta,1.34,5.45,8.1,-0.10991552023912232,-0.017312869114221363,0.2591311135590608,2026-08-16T12:27:09.553Z,1.33,6.0,8.8,-0.11655794172987521,0.08185739180085716,0.3679449134962638,2026-08-16T11:46:35.655Z,1.34,6.0,8.8,-0.10991552023912232,0.08185739180085716,0.3679449134962638,onexbet,duel,duel,away,odds_cap,duel,,2026-08-17T12:20:20Z
CSL-2026-24-2026-08-23-chongqing-tonglianglong-dalian-yingbo,2026-08-23,12:00,Chongqing Tonglianglong,Dalian Yingbo,0.3679619686113262,0.3074814081050017,0.3245566232836722,delta,2.58,3.32,2.735,-0.05065812098277844,0.02083827490860557,-0.11233763531915664,2026-08-16T12:57:10.586Z,2.54,3.55,2.8,-0.06537659972723153,0.09155899877275586,-0.09124145480571799,2026-08-16T12:29:48.518Z,2.58,3.55,2.8,-0.05065812098277844,0.09155899877275586,-0.09124145480571799,onexbet,duel,duel,,,,,2026-08-17T12:20:20Z
